CancerType	Family	Subfamily	NormalCounts	CancerCounts
BLCA	L1	L1PA8	0.234,24.34,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.092,1.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PB2c	0.071,9.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.564,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PREC2	4.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.002,0.482,0.013,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PREC1	0.231,42.91,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.090,0.095,0.089,0.002,0.030,0.003,5.552,0.266,0.102,0.144,0.357,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1HS	0.356,0.713,0.198,72.98,0.030,0.694,0.219,0.332,0.957,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.173,0.208,3.437,5.431,0.152,9.832,4.500,0.965,5.550,2.027,33.32,12.87,14.11,0.173,1.214,0.223,2.591,1.518,0.000,0.000,0.000
BLCA	L1	L1PA10	0.036,5.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PA3	0.405,0.561,0.229,51.21,0.030,0.028,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.367,0.045,0.177,0.235,1.244,0.287,0.103,7.885,2.159,1.039,0.381,1.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PA2	0.548,0.359,0.211,44.85,0.030,0.153,0.086,1.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.300,0.313,0.569,0.168,2.880,0.317,0.572,8.528,3.351,2.456,0.474,0.974,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PA5	0.166,0.201,0.112,46.23,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.328,0.492,0.064,3.577,0.179,0.377,0.268,0.554,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PA4	0.356,0.422,0.039,54.55,0.377,0.057,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.498,0.311,0.227,0.156,0.866,0.337,0.156,6.490,0.834,1.001,0.460,1.254,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PA7	0.166,31.96,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.152,0.090,2.285,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1PA6	0.166,0.228,0.106,40.06,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.152,0.270,0.034,0.064,3.067,0.219,0.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BLCA	L1	L1	0.638,0.100,67.09,0.066,0.670,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.082,0.492,0.973,0.847,2.939,0.471,0.034,0.565,0.890,16.40,1.345,1.766,0.073,0.321,0.402,0.416,0.000,0.000,0.000,0.000,0.000
UCEC	L1	L1PA6	75.28,0.346,1.572,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	2.458,0.352,0.558,0.006,0.293,0.262,5.609,0.154,1.948,0.191,0.124,0.240,0.055,0.968,1.306,0.081,0.634,0.102,0.272,0.455,0.087,0.153,0.232,104.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
UCEC	L1	L1	0.845,0.987,0.512,0.012,709.9,0.109,0.243,3.422,0.038,0.227,32.01,0.730,0.057,0.014,0.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	55.03,4.709,1.062,0.563,2.105,0.942,1.537,5.221,101.5,3.812,1.853,14.31,0.656,3.644,0.708,0.785,0.987,1.095,1.266,1.139,0.126,12.87,2.068,16.93,0.147,2.344,1.075,0.658,4.204,2.617,1.715,1.219,5.600,11.01,0.742,3.298,0.218,0.007,2.246,1.465,1518.,0.323,0.000,0.000,0.000,0.000
UCEC	L1	L1PB2c	4.873,1.0,0.011,1.103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000	0.161,2.982,0.123,2.517,0.005,0.009,0.992,0.015,1.612,0.237,1.994,1.995,0.226,0.002,0.003,0.111,0.002,0.5,40.23,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
